Front,Back
"🎨 What does 着（つ） mean?","to arrive; to put on (clothes) — in this sentence: 着く（つく）= to arrive"
"📘 What is the On'yomi reading for 着?","チャク"
"📗 What is the Kun'yomi reading for 着?","き(る)・つ(く)・つ(ける)"
"🎨 What does 手（て） mean?","hand"
"📘 What is the On'yomi reading for 手?","シュ"
"📗 What is the Kun'yomi reading for 手?","て・た-"
"🎨 What does 紙（かみ） mean?","paper"
"📘 What is the On'yomi reading for 紙?","シ"
"📗 What is the Kun'yomi reading for 紙?","かみ"
"🎨 What does 書（か） mean?","to write"
"📘 What is the On'yomi reading for 書?","ショ"
"📗 What is the Kun'yomi reading for 書?","か(く)"
"🎨 What does 言（い） mean?","to say; to tell"
"📘 What is the On'yomi reading for 言?","ゲン・ゴン"
"📗 What is the Kun'yomi reading for 言?","い(う)・こと"
"🧩 What does 「〜と言っていたのに」 mean?","“Even though (they) said ~” → often implies disappointment / a broken promise"
"🧩 In 「書くと言っていた」 which verb functions like “promise”?","言っていた（いっていた） = “said (they would…)” → contextually like a promise"
"📝 Sentence reading (furigana)","着いたらすぐにお手紙を書くと言っていたのに（ついたら すぐに おてがみを かくと いっていた のに）"
"📝 Sentence meaning","Even though you said you’d write a letter as soon as you arrived…"
